Date,Android,iOS,Sum,lineat_newuser,total_revenue
2021/2/15,2920,4835,7755,,407511
2021/2/22,3301,5563,8864,,1163709
2021/3/1,2866,4847,7713,,356181
2021/3/8,2877,4867,7744,,371571
2021/3/15,3189,5521,8710,,241470
2021/3/22,3110,5328,8438,,288799
2021/3/29,3029,5100,8129,,691141
2021/4/5,3344,6322,9666,,482453
2021/4/12,3629,7073,10702,,713300
2021/4/19,3756,7124,10880,,236566
2021/4/26,3530,6557,10087,,1330242
2021/5/3,3448,6359,9807,41,367427
2021/5/10,3439,6171,9610,86,971245
2021/5/17,3267,5717,8984,37,285950
2021/5/24,3283,5917,9200,67,802468
2021/5/31,3424,6109,9533,9,326460
2021/6/7,2998,5435,8433,61,315099
2021/6/14,3496,5911,9407,58,416752
2021/6/21,3881,6521,10402,94,945386
2021/6/28,3157,5730,8887,66,333602
2021/7/5,3353,6311,9664,107,704594
2021/7/12,3320,6056,9376,54,229853
2021/7/19,3055,5468,8523,65,337721
2021/7/26,3073,5456,8529,90,1037258
2021/8/2,2884,5089,7973,39,365474
2021/8/9,2716,4702,7418,163,577737
2021/8/16,2625,4538,7163,106,986544
2021/8/23,2655,4534,7189,,765162
2021/8/30,2622,4255,6877,,428242
2021/9/6,2649,4444,7093,,353037
2021/9/13,2294,3984,6278,,
